id,calificacion,caracteristica,imagen,nombre,juego_id,puesto,total,valor1,valor2,valor3
137,NULL,"Sin descripción.",Brooke_x-ch5bkb-01~2.jpg,Brooke,14,11,92,100,90,90
138,NULL,"Sin descripción.",Zoey_x-zoey_office_default~2.png,Zoey,10,31,86.5,100,100,70
139,NULL,"Sin descripción.",Paige_x-ch5pg-134~2.jpg,Paige,14,18,89.6,100,87,87
140,NULL,"Sin descripción.",Tiffany_x-tiffany_pjs~2.png,Tiffany,10,32,86.5,100,100,70
141,NULL,"Sin descripción.",Summer_x-summer_message_1~2.png,Summer,10,57,82,100,100,60
142,NULL,"Sin descripción.",Amelia_x-amelia_secret_03~2.jpg,Amelia,11,132,63.7,76,100,30
143,NULL,"Sin descripción.",Norah_x-003~2.jpg,Norah,11,144,58.95,75,87,30
144,NULL,"Sin descripción.",Marta_x-marta_secret_03~2.jpg,Marta,11,34,86,75,100,80
145,NULL,"Sin descripción.",Mia_Screenshot_2025-09-02-07-54-55-634_returningtomia.hotzone18.com~2.jpg,Mia,12,49,83.25,65,85,90
146,NULL,"Sin descripción.",Autumn_x-picture_autumn_2~2.png,Autumn,10,110,71.3,100,63,65
147,NULL,"Sin descripción.",Samantha_x-029~2.jpg,Samantha,11,157,53.45,70,87,20
148,NULL,"Sin descripción.",Matilda_x-152~2.jpg,Matilda,11,45,83.85,80,100,73
149,NULL,"Sin descripción.",Emily_x-036~2.jpg,Emily,11,138,61.05,70,83,40
150,NULL,"Sin descripción.",Lana_x-093~2.jpg,Lana,11,158,53.099999999999994,70,86,20
151,NULL,"Sin descripción.",Yana_x-ch3s2m-114~2.jpg,Yana,14,41,84.05,100,93,70
152,NULL,"Sin descripción.",Katarina_x-ch6kat-18~2.jpg,Katarina,14,143,59.3,100,93,15
153,NULL,"Sin descripción.",Sandie_x-gal_p7_img_2.webp,Sandie,12,76,78.75,65,85,80
154,NULL,"Sin descripción.",Fairy_x-d12a-11~2.png,Fairy,1,50,83.25,85,80,85
155,NULL,Reina,Neith_x-d19d-85~2.png,Neith,1,29,87,80,100,80
156,NULL,"Sin descripción.",Joy_x-d11a-36~2.png,Joy,1,118,68.5,100,100,30
157,NULL,"Sin descripción.","Asani_x-d14b-92-95-anim uf~2.png",Asani,1,48,83.5,80,90,80
158,NULL,"Sin descripción.",Nadia_x-d15a-77x-3~2.png,Nadia,1,8,93.75,100,95,90
159,NULL,"Sin descripción.",Kateryna_x-d14a-283~2.png,Kateryna,1,22,89,85,90,90
160,NULL,"Sin descripción.",Lirah_x-d16a-442~2.png,Lirah,1,100,74.8,80,78,70
161,NULL,"Sin descripción.",Pepper_x-d17a-51~2.png,Pepper,1,28,87.2,90,100,76
162,NULL,"Ximena - esposa",Zahra_x-d16c-197~2.png,Zahra,1,4,96,80,100,100
163,NULL,"Sasha - protegida",Ain_x-d14a-295~2.png,Ain,1,25,88,80,90,90
164,NULL,"Sin descripción.",Athena_x-ath2~2.png,Athena,14,16,90.15,100,95,82
